Unnamed: 0,target_problem,similar_problem,similarity_value,patent_number,Domain,latent_inventive_solutions
18,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"excessive hormone levels can lead to abnormally elevated urine calcium hypercalciuria , blood calcium hypercalcemia and blood phosphorus hyperphosphatemia .",0.2,US10302660,G,"['methods for preventing and treating related disorders', 'methods for diagnosing and treating catabolism-related vitamin D deficiency and susceptibility thereto, related compositions and kits, and methods for preventing and treating related disorders.', 'methods for diagnosing and treating catabolism-related vitamin D deficiency and susceptibility thereto,', 'Excessive hormone levels can lead to abnormally elevated urine calcium hypercalciuria, blood calcium hypercalcemia and blood phosphorus hyperphosphatemia.', 'preventing and treating related disorders.', 'vitamin D hormones regulate a variety of cellular processes via interactions with vitamin D receptors VDR', 'vitamin D hormones regulate a variety of cellular processes via interactions with vitamin D receptors VDR. In particular, the vitamin D hormones regulate blood calcium levels by controlling the absorption of dietary calcium by the small intestine and the reabsorption of calcium by the kidneys. Excessive hormone levels can lead to abnormally elevated urine calcium hypercalciuria, blood calcium hypercalcemia and blood phosphorus hyperphosphatemia.', 'methods for diagnosing and treating catabolism-related vitamin D deficiency and susceptibility thereto, related compositions and kits,', 'vitamin D hormones', 'preventing', 'vitamin D hormones regulate a variety of cellular processes via interactions with vitamin D receptors VDR. In particular, the vitamin D hormones regulate blood calcium', 'vitamin D hormones regulate blood calcium levels by controlling the absorption of dietary calcium by the small intestine and the reabsorption of calcium by the kidneys. Excessive hormone levels can lead to abnormally elevated urine calcium hypercalciuria, blood calcium hypercalcemia and blood phosphorus hyperphosphatemia.', 'vitamin D hormones regulate a variety of cellular processes via interactions with vitamin D receptors VDR. In particular, the vitamin D hormones regulate blood calcium levels by controlling the absorption of dietary calcium by the small intestine and the reabsorption of calcium by the kidneys. Excessive hormone levels can lead to abnormally elevated urine calcium hypercalciuria,']"
20,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"however , there still remains the problem of incapability of being formed into a shape that requires extensive elongation .",0.3,US10279561,B,"['design a new shaped insulation system', ""The fiber sheet serves as a protective layer for the film, thereby solving the problems of cracking, tearing and poor resin impregnation. However, the design is not intended to exhibit adequate formability, and the laminated body thus has poor elongation, as a result of which the laminated body may tear during the formation process. JP '690 proposes a laminated body using an unstretched polyphenylene sulfide sheet to improve shock resistance and formability."", 'The fiber sheet serves as a protective layer for the film', 'The fiber sheet serves as a protective layer for the film, thereby solving the problems of cracking, tearing and poor resin impregnation.', 'new shaped insulation system.', ""fiber sheet serves as a protective layer for the film, thereby solving the problems of cracking, tearing and poor resin impregnation. However, the design is not intended to exhibit adequate formability, and the laminated body thus has poor elongation, as a result of which the laminated body may tear during the formation process. JP '690 proposes a laminated body using an unstretched polyphenylene sulfide sheet"", 'fiber sheet serves as a protective layer for the film, thereby solving the problems of cracking, tearing and poor resin impregnation. However, the design is not intended to exhibit adequate formability, and the laminated body thus has poor elongation, as a result of which the laminated body may tear during the formation process.', 'new shaped insulation system. However, conventional insulation sheets can be formed into only a limited variety of shapes due to their poor physical properties and poor formability. Known conventional electric insulation sheets that can be used as an electric insulation sheet required to have Class F or higher heat resistance are, for example, a film made of a polyphenylene sulfide', 'fiber sheet', 'laminated body composed of a wet-laid polyphenylene sulfide fiber nonwoven fabric and a synthetic resin', 'a laminated body using an unstretched polyphenylene sulfide sheet to improve shock resistance and formability.', 'formability and results in low variability in the shapes of the products in a forming process and an excellent forming process yield has not been invented yet. It', 'laminated body using an unstretched polyphenylene sulfide sheet to improve shock resistance and formability', 'to design a new shaped insulation system. However, conventional insulation sheets can be formed into only a limited variety of shapes due to their poor physical properties and poor formability. Known conventional electric insulation sheets that can be used as an electric insulation sheet required to have Class F or higher heat resistance are, for example, a film made of a polyphenylene sulfide hereinafter also referred to as PPS, a polyimide,', 'a laminated body composed of a wet-laid polyphenylene sulfide fiber nonwoven fabric', 'a laminated body composed of a wet-laid polyphenylene sulfide fiber nonwoven fabric and a synthetic resin film see JP 63-237949 A, a laminated body composed of an unstretched polyphenylene sulfide sheet and a fiber sheet']"
21,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,the winch comprises a work mode controlling mechanism to enable axial movement of the transmission shaft thereby switching the spline amongst the work modes described above .,0.3,US10280050,B,"['the reset spring surrounds the transmission shaft, one end of the reset spring is in contact with the output end of the driving component, the other end of the reset spring is in contact with a retaining ring connected to the transmission shaft.', 'and the three-stage center wheel. During switching of work modes, a spline incompletely engaged would cause stuck of the planetary gearbox and damage the inner', 'the reset spring surrounds the transmission shaft, one end of the reset spring is in contact with the output end of the driving component, the other end of the reset spring is in contact with a retaining ring connected to the transmission shaft. The clutch mechanism includes a pushing component which is in contact with the other end of the transmission shaft and used to push the transmission shaft in an axial direction,', 'resetting spring. The winch comprises a work mode controlling mechanism to enable axial movement of the transmission shaft thereby switching the spline amongst the work modes described above. However, the winch as disclosed implements a spline to connect the second planetary wheel component, the third planetary wheel component and the three-stage center wheel. During switching of work modes, a spline incompletely engaged would cause stuck of the planetary gearbox and damage the', 'clutch mechanism includes a pushing component which is in contact with the other end of the transmission shaft and used to push the transmission shaft in an axial direction, and a transmission component rotatably disposed on the transmission shaft which is used to drivably connect the roll tube and the deceleration mechanism by sliding axially with the transmission shaft.', 'Chinese Patent Number ZL201610473915. 3 which enables a winch to work in multiple word modes', 'resetting spring. The winch comprises a work mode controlling mechanism to enable axial movement of the transmission shaft thereby switching the spline amongst the work modes described above. However, the winch as disclosed implements a spline to connect the second planetary wheel component, the third planetary', 'Chinese Patent Number ZL201610473915. 3 which enables a winch to work in multiple word modes such as a high speed mode, a low speed mode and an idle mode. The winch as disclosed comprises a motor, a transmission shaft, a roll tube, a first planetary wheel component, a second planetary wheel component, and a third planetary wheel component. A spline and a three-stage center wheel are disposed between the second planetary wheel component and the third planetary wheel component.']"
22,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"despite the availability of a number of different pdcs , manufacturers and users of pdcs continue to seek pdcs that exhibit improved toughness , wear resistance , thermal stability , or combinations thereof .",0.17,US10280687,E,"['Cobalt', 'high-pressure/high-temperature HPHT', 'diamond table is formed and bonded to a substrate using a high-pressure/high-temperature HPHT process. The PDC cutting element may be brazed directly into a preformed pocket, socket, or other receptacle formed in a bit body. The substrate may often be brazed or otherwise joined to an attachment member, such as a cylindrical backing.', 'high-pressure/high-temperature HPHT process.', 'HPHT process.', 'HPHT process. The PDC cutting element may be brazed directly into a preformed pocket, socket, or other receptacle formed in a bit body. The substrate may often be brazed or otherwise joined to an attachment member, such as a cylindrical backing.']"
23,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"however , a control room user is still limited to the number of report screens/displays that he or she can simultaneously run .",0.29,US10282456,G,"['Call Management System CMS supervisor instances can be started and one CMS can support multiple logins.', 'Management System CMS supervisor instances can be started and one CMS can support multiple logins. For', 'Management System CMS supervisor instances can be started and one CMS can support multiple logins.', 'room users have learned that multiple Call Management System CMS supervisor instances can be started and']"
24,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"particularly , in the case where a large-area substrate having a size equal to or greater than that of an 8-inch wafer is subjected to dry etching , its production cost becomes higher .",0.4,US10283229,G,"['wet etching process', 'wet etching process.', 'it is conceivable to utilize a wet etching process', 'it is conceivable to utilize a wet etching process.', 'by the wet etching process has', 'there is a need for a high-aspect ratio-structured grating having an extremely high aspect ratio, for example, of 3 or more.', 'there is a need for a high-aspect ratio-structured grating having an extremely high aspect ratio, for example, of 3 or more. For this purpose, there has been proposed a fabrication method using silicon processing created by applying semiconductor processing techniques. As an example, WO 2012/008118A Literature 1 discloses a production method for a metal grating structure.', 'utilize a wet etching', 'is capable of dividing a flux of X-rays radiated from the single X-ray source,', 'The zeroth grating is a normal grating utilizable to modify a single X-ray source to a multiple source, i. e. , is capable of dividing a flux of X-rays radiated from the single X-ray source, into a plurality of fluxes of X-rays plurality of X-ray beams', 'there is a need for a high-aspect ratio-structured grating having an extremely high aspect ratio, for example, of 3 or more. For this purpose, there has been proposed a fabrication method using silicon processing created by applying semiconductor processing techniques. As an example, WO 2012/008118A Literature 1 discloses a production method for a metal grating structure. The metal grating structure production method disclosed in this Literature 1 comprises forming a recess slit', 'for performing the processing at lower cost, it is conceivable to utilize a wet etching', 'for performing the processing at lower cost, it is conceivable to utilize a wet', 'As a result, the recess formed by the wet etching', 'The zeroth grating is a normal grating utilizable to modify a single X-ray source', 'conceivable to utilize a wet']"
25,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"however , detection of infrared light generally requires low-band gap materials that are difficult to integrate with traditional image sensor fabrication processes .",0.22,US10283553,H,"['an image sensor that can detect both IR and visible light', 'an image sensor that can detect both IR and visible light. However, detection of infrared light generally requires low-band gap materials that are difficult to integrate with traditional image sensor fabrication processes. Accordingly, it has proved challenging to merge infrared and visible imaging technologies.', 'image sensor', 'image sensor that can detect both IR and visible light. However, detection of infrared light generally requires low-band gap materials that are difficult to integrate with traditional image sensor fabrication processes. Accordingly, it has proved challenging to merge infrared and visible imaging technologies. This difficulty in fabricating hybrid visible-IR image sensors', 'the teachings of the present invention.', 'image sensor that can detect both IR and visible light', 'merge infrared and visible imaging technologies.', 'the teachings of the present invention. 2 is a block diagram illustrating one example of a visible and infrared image sensor, in accordance with the teachings of the present invention. 3 is a flowchart of a process for forming', 'with the', 'with the teachings of the present invention. 2 is a block diagram illustrating one example of a visible', 'accordance with the teachings of the present invention. 2 is a block diagram illustrating one example of a visible', 'is an image sensor that can detect both IR and visible light. However, detection of infrared light generally requires low-band gap materials that are difficult to integrate with traditional image sensor fabrication processes. Accordingly, it has proved challenging to merge infrared and visible imaging technologies. This difficulty in fabricating hybrid visible-IR image sensors has resulted in hybrid sensors that suffer from low IR sensitivity, visible light contamination, semiconductor defects, and the like."",']"
26,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"further , a sealing function of the conventional labyrinth is often insufficient .",0.17,US10284049,H,"['air guide/discharge unit', 'The present invention relates to an electric motor having a labyrinth structure.', 'an air guide/discharge unit including a fixed axis having a horizontal hole and a vertical hole so that air can enter the horizontal hole and flow out from the vertical hole, by which particles of lubricant or foreign material can be prevented from diffusing into a clean area.', 'rotor. On the other hand, JP 2010-022115 A discloses an electric motor including a labyrinth section having a serpentine path, by which water can be prevented from entering an inside of the motor.']"
27,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"while variant techniques have been explored , problems persist with slurry preform formation associated with limited throughout , and inhomogeneity of fiber densities within a preform .",0.2,US10286574,B,"['. There also exists a need for a', '. There also exists a need for a process of forming preforms with greater throughput than obtained with a tank immersion screen', 'Thermoplastic binders have been used in concert with heat to set the fibers in the preform shape. The preform is then subjected to optional trimming and impregnated with reactive resin', 'Thermoplastic binders have been used in concert with heat to set the fibers in the preform shape', '. There also exists a', 'There also exists a', 'catching fibers from a slurry on a screen contoured in the shape of the desired preform, followed by a secondary drying', 'catching fibers from a slurry on a screen contoured in the shape of the desired preform, followed by a secondary drying to set the shape of the preform. Thermoplastic binders have been used in concert with heat to set the fibers in the preform shape. The preform is then subjected to optional trimming and impregnated with reactive resin through a reaction injection molding process to form a composite article.', 'There also exists a need for a', 'derived preform. There also exists a need for a process of forming preforms with greater throughput than obtained with a tank immersion screen', 'catching fibers from a slurry on a screen contoured in the shape of the desired preform', 'The preform is then subjected to optional trimming and impregnated with reactive resin', 'The preform is then subjected to optional trimming and impregnated with reactive resin through a reaction injection molding process', 'secondary drying to set the shape of the preform. Thermoplastic binders have been used in concert with heat to set the fibers in the preform shape.', 'secondary drying to set the shape of the preform. Thermoplastic binders have been used in concert with heat to set the fibers in the preform shape. The preform is then subjected to optional trimming', 'optional trimming and impregnated with reactive resin', 'impregnated with reactive resin through a reaction injection molding process to form a composite article', 'preform. There also exists a need for a process of forming preforms with greater throughput than', 'optional trimming and impregnated with reactive resin through a reaction injection molding process']"
28,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,it would be advantageous to develop a new generation of plasticizers with improved performance compared to phthalate esters .,0.31,US10287230,C,"['of', 'of plastic', 'elastomer', 'elastomer to increase the flexibility, workability, or dispensability of the resin. The largest use of plasticizers', 'into a resin usually a plastic or elastomer to increase the flexibility,', 'omer', 'into a resin usually a plastic or elastomer']"
29,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"in addition , all of these drugs are known to have undesirable systemic side effects uhl , et al. , 2014 .",0.26,US10287337,C,"['saxitoxin cannot be administered systemically', 'BIBN4096, MK-0974, MK-3207 and BI 44370 alleviated acute migraine headache', 'saxitoxin cannot be administered systemically. Local administration of saxitoxin has not been trialed in clinic.', 'a polypeptide that contains only amino acids 8-37 of CGRP CGRP8-37 can act as a CGRP receptor antagonist.', 'Local administration of saxitoxin has not been trialed in clinic. In clinical trials, scalp injections of botulotoxin A Botox have been shown to be effective as a local treatment for migraine, presumably by blocking release of pronociception chemicals including CGRP from nociceptive afferents. Although this procedure may provide peripheral therapy for migraine, Botox also paralyzes skeletal muscles,', 'systemic administration of CGRP receptor antagonists CGRP 8-37, BIBN4096 and MK-0974', 'Thus, a polypeptide that contains only amino acids 8-37 of CGRP CGRP8-37 can act as a CGRP receptor antagonist.', 'systemic administration of CGRP receptor antagonists CGRP 8-37, BIBN4096 and MK-0974 were under investigation in clinical trials, and initial results indicated that BIBN4096, MK-0974, MK-3207 and BI 44370', 'because of undesired systemic side effects, saxitoxin cannot be administered systemically.']"
30,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,this known device is of complicated construction and requires a lot of space .,0.34,US10290526,H,"['it is mostly only possible to arrange a limited number of suction lifters side-by-side', 'it is mostly only possible to arrange a limited number of suction lifters side-by-side so that the number of components that can be tested simultaneously is very limited.', 'mostly only possible to arrange a limited number of suction lifters side-by-side', 'mostly only possible to arrange a limited number of suction lifters side-by-side so that the number of components that can be tested simultaneously is very limited.', 'arrange a limited number of suction lifters side-by-side so that the number of components that can be tested simultaneously is very limited.', 'space reasons it is mostly only possible to arrange a limited number of suction lifters', 'only one direction y-direction']"
33,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,iommu mapping creation may be a performance burden .,0.18,US10296256,G,"['the mappings must be performed for each write operation, which creates delay.', 'mappings must be performed for each write operation, which creates delay.', 'dynamically created as needed', 'dynamically created as needed.', 'dynamically created', 'dynamically created as needed. IOMMU mapping creation may be a performance burden. Typically, writing data from a second tier memory, such as a flash memory, to a DRAM requires an OS page fault handler to determine that a backing storage is at the storage device controller flash address FA, allocate a free, zero-filled 4 KB page at DRAM physical address PA, map PA into the IOMMU, and send a command to the storage device controller', 'from a second tier memory, such as a flash', 'from a second tier memory, such as a flash memory, to a DRAM requires an OS page fault handler to determine that a backing storage is at the storage device controller flash', 'Copying from the storage device controller into CPU DRAM requires either that the storage device controller have full access to CPU DRAM, or that IOMMU mappings be dynamically created', 'from a second tier memory, such as a flash memory, to a DRAM requires an OS page fault handler to determine that a backing storage is at the storage device controller flash address FA,', 'Copying from the storage device controller into CPU DRAM requires either that the storage device controller have full access to CPU DRAM, or that IOMMU mappings be dynamically created as needed.', 'Copying from the storage device controller into CPU DRAM requires either that the storage device controller have full access to CPU DRAM, or that IOMMU mappings be dynamically created as needed. IOMMU mapping creation may be a performance burden. Typically, writing data from a second tier memory, such as a flash memory, to a DRAM', 'device controller flash', 'device controller flash address FA,', 'DRAM requires an OS page fault handler to determine', 'IOMMU mappings be dynamically created as needed. IOMMU mapping creation may be a performance burden. Typically, writing data from a second tier memory,', 'IOMMU mappings be dynamically created as needed.', 'device controller flash address FA, allocate a free, zero-filled 4 KB page at DRAM physical address PA, map PA into', 'backing storage is at the']"
